Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
April Rain in August Weather,April Rain in August Weather - Single,Baba Blakes,3/24/2023,FR96X2351551,"1,004",47.9,408449,38,"1,747",12,524571173,1510602,23,20,385,,,25,,,,,,,,75,,0
LEATHER,LEATHER,MAKAELA,1/27/2023,QZJG52355895,"1,000",47.9,1696,,,,604258394,1611760,,,,,,6,,,,,,,,,,1
Panini,Panini,Lil Nas X,6/20/2019,USSM11903948,"1,003",47.9,741766886,"96,241","16,599,790",62,659070547,10294151,334492,59073681,493209730,"229,239,236",68,"46,553",504,22,"405,827",18,"132,924,483","229,717","43,940,834","2,409,985",,0
She Had Me At Heads Carolina,Stereotype,Cole Swindell,4/8/2022,USWB12200181,"1,007",47.9,244709550,"33,533","14,159,174",69,92809269,501049,53799,11305059,140118719,"466,327,206",31,"418,626",159,4,"96,022",28,"154,772,045","37,582",,"911,477",,0
"So Long, London",THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,USUG12401032,"1,008",47.8,175613480,"4,454","20,883,678",84,15237337,222750,,247100,1510800,"24,074,850",29,774,,6,"284,806",27,"2,107,786","2,086",,"67,886",,0
good 4 u,good 4 u,Olivia Rodrigo,5/14/2021,USUG12101253,"1,009",47.8,2167768056,"12,805","3,065,794",54,,,,,,,93,"819,886",,6,"192,922",2,,,,"7,171,230",,0
bad idea right?,bad idea right?,Olivia Rodrigo,8/11/2023,USUG12304094,"1,012",47.7,433515672,"37,313","23,894,665",12,37971085,871048,236657,92857729,839351640,"1,213,115,245",73,"12,873",495,38,"8,664,321",37,"10,949,173","15,146",,"706,445",,1
"Ay, DiOs M��","Ay, DiOs M��",KAROL G,7/10/2020,USUM72013593,"1,016",47.7,599215039,"57,051","16,707,832",61,834762162,5130805,2265527,71390703,779241131,"38,462,285",111,"26,349",168,25,"244,418",33,"54,177,152","13,881","2,842,552","1,362,793",,0
happier,SOUR,Olivia Rodrigo,5/21/2021,USUG12101247,"1,015",47.7,1133535049,"116,055","29,173,011",79,352845171,3883946,722581,472933333,3266081830,"326,868,389",56,"20,348",,11,"193,230",11,"34,992,093","44,126",,"1,970,544",,1
Lalala,Lalala,Y2K,6/28/2019,USSM11904230,"1,010",47.7,968133091,"142,494","16,656,325",66,707665227,10665380,2733359,556612849,6342877983,"368,355,428",76,"25,256",267,33,"6,401,270",7,,,,"9,155,025",,1
ONE MORE TIME,ONE MORE TIME / MORE THAN YOU KNOW,blink-182,9/21/2023,USSM12306395,"1,011",47.7,62097485,"16,027","7,986,146",,36646460,717689,5436,2500510,39957104,"40,665,968",23,"159,385",44,18,"291,819",61,"3,622,597","4,137",,"1,145,608",,0
���������������������,���������������������,HoneyWorks,11/21/2022,JPX402200183,"1,014",47.7,23191929,"5,912","438,018",51,128703160,1112327,3400886,499324989,6284732144,"80,772,548",3,80,,,,6,"46,380",60,,"188,814",,0
Tubar��o Te,Tubar��o Te,Dj LK da Esc��,9/28/2022,BC91N2200001,"1,013",47.7,150177750,"30,142","13,282,269",59,153683754,1673637,2700000,1300234701,15253039012,"6,064,515",9,151,281,28,"89,832",10,"64,326",340,,"1,072,415",,1
Chichiquetere,Chichiquetere,HCTM,8/6/2022,SGB502231965,"1,017",47.6,1858478,581,"37,113",28,163462,3981,5101153,88338099,1420793896,,,23,,,,,,,,"49,225",,0
After Hours,After Hours,Kehlani,4/4/2024,USAT22401034,"1,019",47.6,34629239,"3,962","55,053,444",14,2560026,50310,,477400,4592500,"14,602,910",49,"36,465",7,17,"215,137",32,"4,067,131","1,027","603,693","349,619",,1
Monkeys Spinning Monkeys,SteamFun - Single,Kevin MacLeod,5/16/2011,USUAN1400011,"1,018",47.6,11477477,"7,679","1,490,705",36,11457166,123604,31963934,23474223833,2.33232E+11,"1,418,397",4,"2,557",,1,"43,207",1,,,,"1,177,639",,0
II MOST WANTED,COWBOY CARTER,Beyonce,3/27/2024,USSM12402717,"1,022",47.5,76870736,"5,252","32,501,444",,6424033,126715,,,,"200,314,697",76,"35,701",23,83,"6,321,279",64,"4,488,447","1,755","176,006","286,217",,0
One Kiss (with Dua Lipa),Dua Lipa (Complete Edition),Calvin Harris,1/1/2015,GBARL1800368,"1,024",47.5,2178606166,"291,456","162,511,602",79,1256080361,8723122,1932873,174361744,1597020461,"706,333,060",458,"160,995",376,548,"3,408,335",103,"141,238,520","81,291",,"15,829,169",,0
Mmhmm,Mmhmm,BigXthaPlug,10/6/2023,QZNMX2391413,"1,020",47.5,155648648,"28,131","46,683,719",82,27758776,286628,44222,881868,7609548,"105,397,484",20,"23,720",203,1,"1,924",10,"7,238,417","2,385","5,358,274","479,173",,1
BOP,KIRK,DaBaby,9/27/2019,USUM71918972,"1,021",47.5,820923123,"158,363","34,079,735",68,661665888,6303898,74988,16461096,129969428,"156,344,017",68,"140,499",401,38,"202,117",7,"123,274,962","145,513",,"2,417,871",,1
Husn,Husn,Anuv Jain,12/1/2023,INUM72303081,"1,023",47.5,181457783,"12,424","10,746,664",74,130834495,1816271,,,,"1,014,573,386",9,104,,1,"1,097",6,,1,,"355,361",,0
Titanium (feat. Sia),Nothing But The Beat,Sia,1/1/2011,GB28K1100036,"1,031",47.4,1634403761,"244,291","103,798,139",74,1855838617,9070363,223184,49312980,510515661,"1,440,344,388",253,"213,633",53,142,"1,062,057",77,"651,980,038","1,038,186",,"15,214,627",,0
Kahani Suno 2.0,Kahani Suno 2.0,Kaifi Khalil,5/31/2022,QZK6Q2278612,"1,027",47.4,296648613,"21,479","6,678,540",68,510727740,6497078,1200000,27052606,410960127,,2,,,1,"1,097",,,,,"422,144",,0
No_se_ve.mp3,No_se_ve.mp3 - Single,Emilia,5/3/2023,QM6N22333334,"1,025",47.4,218340846,"30,667","18,842,918",64,223159269,879627,225600,67337219,876147905,"290,956,426",20,"23,591",12,30,"766,172",54,"13,860",,,"744,536",,1
Lean On (feat. M�� & DJ Snake) - J Balvin & Farruko R,Lean On (feat. M�� & DJ Snake) [J Balvin & Farruko Re,Major Lazer,9/4/2015,FR6P11501180,"1,030",47.4,53822187,"2,081","465,455",,3617929617,17418989,,37,956,"1,393,748,323",,,,1,234,,,,,,,0
Arcade,Arcade,Duncan Laurence,3/7/2019,NL1TK1900001,"1,029",47.4,1184536529,"199,838","52,970,224",69,439603979,6566306,1458534,698504294,6956515458,"852,884",124,"162,431",210,51,"343,757",20,"43,572,216","21,328",,"11,835,805",,0
Ya Te Olvide,Ya Te Olvide,Natanael Cano,5/15/2024,QZ9QQ2400324,"1,032",47.4,38139811,"1,763","29,137,587",79,19437867,412418,,,,,9,4,,2,"1,229,099",15,"938,522",120,,"114,816",,0
How Deep Is Your Love,How Deep Is Your Love,Calvin Harris,7/17/2015,GBARL1500704,"1,026",47.4,1156342373,"168,603","66,723,908",78,1961319809,8520003,527189,148496036,982629718,"234,830,168",364,"77,370",80,132,"734,737",12,"164,858,805","135,026",,"14,394,209",,0
BUTTERFLY EFFECT,EPIC AF,Travis Scott,1/1/2017,USSM11704799,"1,028",47.4,1388024799,"219,410","37,089,107",79,583707677,4328247,103265,22575146,236970860,"39,422,962",133,"7,534",,31,"285,491",27,"190,725,773","62,017","89,880,570","3,356,112",,0
Let You Down,Let You Down,NF,9/15/2017,USUM71708226,"1,034",47.2,1472430869,"187,536","40,032,849",73,668707222,7011620,754672,35519027,270757450,"128,349,191",68,"67,662",137,30,"104,624",11,"484,243,114","237,879",,"8,887,316",,0
FE!N (feat. Playboi Carti),FE!N (feat. Playboi Carti),Travis Scott,3/30/2024,USSM22301824,"1,033",47.2,656618110,3,82,,,,,,,,,,,,,,,,,,,1
Bad Memories (feat. Elley Duh�� & FAST ,Bad Memories (feat. Elley Duh�� & FAST ,MEDUZA,7/22/2022,GBUM72203666,"1,035",47.2,460973352,"87,026","76,037,102",69,21938855,220610,46341,11711694,202563112,,93,"200,995",171,59,"1,721,803",22,"4,963,625","1,266","2,244,208","3,373,945",,0
Yo Perreo Sola,YHLQMDLG,Bad Bunny,2/29/2020,QM4TX2030934,"1,036",47.1,745086450,"95,154","29,388,631",67,818482247,8068018,1515908,126702212,1133216780,"291,194,930",128,"24,957",38,35,"372,403",53,"81,678,830","65,483",,"1,822,325",,0
ETA,NewJeans 2nd EP 'Get Up',NewJeans,7/21/2023,USA2P2330071,"1,038",47.1,234215735,"20,419","7,910,753",74,189170317,1734442,98128,38199952,297802502,"537,474,239",24,"2,619",21,2,"18,940",4,"696,801",973,"1,352,255","248,138",,0
Jordan,Jordan,Ryan Castro,4/30/2021,FR96X2111994,"1,037",47.1,535847791,"57,454","22,561,916",73,602969531,3455570,2054500,440899222,5134093462,"126,173,423",23,"16,697",394,9,"55,353",29,"1,005,285","1,583",,"1,079,602",,0
Take You Dancing,Take You Dancing,Jason Derulo,7/22/2020,USAT22004479,"1,039",47.1,716319941,"98,905","32,882,211",65,460154791,3442896,522107,149900995,1506051452,"176,273,148",145,"392,495",115,91,"3,010,119",31,"111,888,753","21,214",,,,0
BUBALU,BUBALU,Feid,9/22/2023,USUM72312321,"1,043",47,152487756,"26,763","34,486,818",,91266986,531703,22360,672615,7708938,"140,740,472",33,"45,802",34,44,"11,519,450",27,"1,037,674",651,,"783,303",,0
Be Alright,Be Alright,Dean Lewis,6/29/2018,AUUM71800255,"1,042",47,1749353402,"182,732","81,424,354",72,244698483,2156754,191718,48497239,379547638,"2,742",148,"153,400",53,47,"238,867",26,"187,475,548","145,064","38,670,021","12,744,176",,1
Jalebi Baby,Jalebi Baby,Tesher,11/13/2020,QZNWQ2070741,"1,041",47,164137928,"47,324","4,827,888",58,569438267,9098356,3568275,609856643,8443743856,"8,067,537",43,"20,053",26,3,"1,874",3,"1,536,646","4,239","3,441,396","6,489,242",,0
Endless Summer,Endless Summer,Alan Walker,7/13/2023,NOG842305010,"1,040",47,28340672,"7,147","9,900,066",55,6667293,144046,2207992,16323044,395590915,"13,897,403",8,"16,735",,10,"108,472",8,"297,266",120,,"150,561",,1
Belly Dancer,Belly Dancer,Imanbek,2/18/2022,NLZ542200165,"1,047",46.9,547114702,"110,008","103,107,258",75,152539885,1025216,81866,45025550,367187204,"675,951,120",85,"125,928",,73,"1,992,797",42,,,,"3,826,486",,0
Who Told You (feat. Drake),Who Told You (feat. Drake) - Single,J Hus,6/8/2023,GBARL2300716,"1,046",46.9,142574143,"72,496","16,207,605",62,16368063,168658,80897,28314723,264112132,"511,758",90,"25,565",45,36,"503,882",49,"434,491",,,"845,300",,1
NIGHT DANCER,NIGHT DANCER - Single,imase,8/19/2022,JPPO02202918,"1,045",46.9,239149370,"46,984","6,134,615",67,281173184,3281196,1132387,226568824,2285171989,"80,772,548",32,"2,272",,3,"10,100",2,"304,322",906,,"1,864,998",,0
Yoksun,Yoksun - Single,Ebru Ya��,2/2/2024,FR2X42424385,"1,048",46.9,33174286,"1,658","1,193,973",,119795906,342242,,,,"1,145,002,460",9,"5,456",,2,"1,581,911",,,,,"499,594",,0
DON'T YOU WORRY,Don't You Worry,Black Eyed Peas,6/16/2022,USSM12202555,"1,044",46.9,302939117,"48,916","26,723,190",62,236850911,1744818,86202,6704531,74013480,"5,024,734,774",57,"232,177",654,51,"1,215,691",32,"1,954,271","2,652",,"4,456,945",,0
"Rowdy Baby (From ""Maari 2"")",U1 For Life,Dhanush,8/26/2020,IND291823075,"1,057",46.8,58283353,12,"2,710",,1558088734,6652026,,,,"169,255,135",,,,,,5,344,98,,"139,710",,0
MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,Elley Duh�,1/10/2020,USRC11903813,"1,054",46.8,1104008150,"173,612","51,608,714",72,431904675,4882117,612500,304312367,2922804533,"42,354,537",72,"88,909",,35,"997,273",3,"19,854,772","17,812",,"10,511,473",,0
Pickup Man (feat. Post Malone),HIXTAPE Vol. 3: DIFFTAPE (Small Batch),HARDY,11/9/2023,USUG12305726,"1,055",46.8,27891947,"11,898","5,352,704",,,,,,,,8,"8,698",,1,1,20,"156,941,809","31,924","345,159","96,725",,0
Volando (Remix),Volando (Remix),Mora,7/8/2021,QMFME2105596,"1,052",46.8,701919939,"105,247","22,304,375",68,560364244,2647485,26200,9024221,74137126,"45,891,350",85,"14,824",15,21,"301,957",22,"14,229,625","2,125",,"1,404,755",,1
