id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
890875,"Sunny, modern apt in Lower Haight",4374318,Jolie,,Western Addition,37.7701,-122.43312,Entire home/apt,269,2,11,2024-07-22,0.11,2,129,1,STR-0006220
895381,Hayes Valley 1 BR with Private Deck,1257432,San Francisco Life,,Downtown/Civic Center,37.7774,-122.42003,Entire home/apt,162,30,14,2024-05-11,0.10,29,193,1,
900393,Comfortable Potrero Hill 2 BDR Home,4808354,Irene,,Potrero Hill,37.7577,-122.39958,Entire home/apt,295,30,96,2024-10-05,0.67,1,282,2,
900941,Stunning apartment with roof deck!,914858,Juan,,Castro/Upper Market,37.7568,-122.43698,Entire home/apt,565,90,13,2014-03-26,0.09,1,365,0,
905399,The Mission Room in 1906 SF Victorian,4843181,Nancy,,Mission,37.74951,-122.41851,Private room,74,5,217,2024-11-18,1.51,3,89,25,2022-009455STR
915058,"Unique Home, Magical Garden/OMG Views/Outdoor Tub!",3608449,Jeannie (And Skate),,Bernal Heights,37.74332,-122.40942,Entire home/apt,815,3,39,2024-03-24,0.30,2,0,1,STR-0000478
918341,Potrero Hill Garden Getaway,145258,Kepa,,Potrero Hill,37.76553,-122.39614,Entire home/apt,290,1,629,2024-11-23,4.39,2,345,34,STR-0000073
931313,Central apartment - Market Street with parking,38836,Bernat,,Mission,37.77025,-122.42193,Entire home/apt,87,30,46,2024-11-18,0.32,19,350,2,
934012,One block from Golden Gate Park!,5037105,David,,Inner Richmond,37.77596,-122.46187,Entire home/apt,100,30,87,2024-11-24,0.61,1,250,4,
943851,"Victorian Mission Flat w/ views, storage & parking",736969,Daria,,Mission,37.75741898907212,-122.40616376543828,Entire home/apt,,30,8,2024-04-30,0.06,1,0,1,
4252808,"Charming Garden Apartment, Steps From The Beach",3059177,Heather,,Outer Sunset,37.75859,-122.50797,Entire home/apt,134,2,628,2024-11-16,5.81,1,22,74,2023-007179STR
945748,Interior Designed SF Gem/great - safe neighborhood,5124146,Toni,,Presidio Heights,37.78421,-122.45896,Entire home/apt,184,2,234,2024-11-09,2.52,1,349,23,2024-005767STR
950094,Knockout Panoramic View Suite,5153588,Gaylene,,Bayview,37.73561,-122.39512,Private room,61,30,53,2024-03-31,0.37,4,307,1,STR-0002773
964751,Fully Private Garden Studio w/bath,674976,Phil,,Inner Richmond,37.77843,-122.45685,Entire home/apt,120,30,291,2024-11-17,2.04,2,179,4,STR-0000110
968037,One BR in NB with Sweeping Bay View,2548643,Thomas,,North Beach,37.79989,-122.40468,Entire home/apt,225,30,93,2024-11-17,0.69,1,247,1,
980783,Potrero Hill Retreat,5371124,Katie,,Potrero Hill,37.76249,-122.40307,Entire home/apt,190,30,170,2024-08-10,1.21,1,258,4,
982298,"The Surf Shack - 6 beds, hot tub",5380962,George,,Outer Sunset,37.7516,-122.50727,Entire home/apt,,3,115,2024-10-30,0.82,1,247,12,STR-0000902
991765,Country living in the Mission!,5446518,Jennifer,,Mission,37.75707,-122.4116,Entire home/apt,375,4,50,2023-08-04,0.36,1,61,0,STR-0000350
992913,Great location in North Beach,1360620,Deborah,,North Beach,37.79959,-122.40639,Private room,95,2,406,2023-10-26,2.85,1,179,0,STR-0001109
997382,Haight Ashbury Experience Room 5,1032643,Joshua Martin,,Haight Ashbury,37.77082,-122.44825,Private room,53,1,749,2024-11-17,5.29,5,354,56,STR-0001099
998701,Private Room in Ocean Beach Cottage,5488987,Martha,,Outer Sunset,37.75939,-122.50664,Private room,110,3,282,2024-11-17,1.98,1,222,22,STR-0003882
1001759,Spacious sunny room in the Castro,3379945,Elena,,Castro/Upper Market,37.76138,-122.43853,Private room,,30,13,2019-03-03,0.09,3,0,0,
1005642,Walk + Bike + Transit Score 97!,4085271,Jan,,Mission,37.761097,-122.424545,Private room,103,1,440,2024-11-03,3.11,2,163,33,STR-0000504
1007157,Rent Russian Hill,5539889,Maureen,,Nob Hill,37.79531,-122.41895,Entire home/apt,230,30,94,2024-03-13,0.67,1,363,1,
1011751,Office/Refuge/Ocean view,5565510,Lulu,,West of Twin Peaks,37.73436,-122.46412,Private room,80,3,108,2020-10-11,0.76,5,267,0,STR-0001386
1016604,Entire 3br Beautiful Edwardian Home near GG Park,58930,David,,Inner Richmond,37.77894,-122.46122,Entire home/apt,509,4,22,2023-08-06,0.17,4,16,0,STR-0000077
1018426,"SHARE Spacious Loft: Moscone, Ball Park & Downtown",1165164,Morgan,,South of Market,37.77543,-122.40575,Shared room,150,30,117,2019-11-22,0.83,1,365,0,STR-0000099
1036860,2bed-rm Suites at Fisherman's Wharf,5708168,Kowang,,Russian Hill,37.80463,-122.42012,Entire home/apt,309,2,21,2024-07-13,0.15,1,0,1,License not needed per OSTR
1037251,Cozy & Convenient easy fwy Access,698337,Emily,,Bernal Heights,37.74337,-122.40761,Entire home/apt,81,30,92,2024-09-18,0.65,2,150,3,Pending Application
1038324,Awesome Mission spot for travelers,5716115,Shirin,,Mission,37.75217,-122.40954,Private room,75,30,101,2024-02-06,0.73,1,365,2,
1059961,KelSoMa 1 Bed & Bath in SoMa,1427845,Laura,,South of Market,37.78008,-122.40936,Shared room,10000,45,39,2015-11-27,0.28,1,180,0,
1067031,Spacious and Quiet Home 3bd/2ba,5870776,Nancy,,Outer Mission,37.73014,-122.45213,Entire home/apt,271,2,65,2024-11-19,0.47,1,47,28,STR-0005058
1074231,Victorian Living in San Francisco,5909809,Purvi,,Haight Ashbury,37.77245,-122.44948,Entire home/apt,125,30,113,2017-12-17,0.96,1,364,0,
1083810,"Home, Backyard & Park with Free Parking",5959211,Kat,,Noe Valley,37.75429,-122.43694,Entire home/apt,,20,41,2023-10-02,0.33,1,0,0,STR-0001318
1084068,Modern Sanctuary Abundance of Light,5960567,Karina,,South of Market,37.77819,-122.40308,Entire home/apt,180,365,36,2014-09-13,0.26,2,365,0,
1087427,Private furnished Rm near UCSF/22nd Ave in Sunset,5977346,Melissa,,Outer Sunset,37.75629,-122.47907,Private room,63,30,4,2024-09-01,0.06,8,62,2,STR-0002884
1087433,Masterbedrm w/ own Bath near Ucsf in Sunset 22ndAv,5977346,Melissa,,Outer Sunset,37.75761,-122.48117,Private room,75,30,1,2024-04-13,0.13,8,180,1,SR BH 100-522760
1094207,Extraordinary Furnished Junior 1br,6011704,Jose,,Mission,37.76069,-122.42302,Entire home/apt,87,30,54,2024-06-01,0.38,1,142,3,
1094764,San Francisco Presidio Paradise!,172460,Leila,,Inner Richmond,37.78814,-122.46547,Entire home/apt,150,30,1,2021-10-31,0.03,2,262,0,
1098003,"Lovely, Unique Home Near Everything",6034365,Nico,,Western Addition,37.77025,-122.43231,Entire home/apt,800,2,132,2024-08-04,0.95,1,125,10,2024-004771STR
1103797,Remodeled Victorian Flat w/ Garden,6062220,Luke,,Western Addition,37.78456,-122.44327,Entire home/apt,2000,30,35,2019-08-06,0.31,1,177,0,STR-0001362
1104912,"Sunny SF apt near Golden Gate Park, Beaches",6068306,Chani,,Outer Richmond,37.7774,-122.50255,Entire home/apt,149,2,301,2024-10-07,2.67,1,156,15,Pending Application
1106534,Private Cottage in Noe Valley with parking!,6074928,Rachel,,Noe Valley,37.74498,-122.4367,Entire home/apt,200,30,103,2024-05-01,0.74,1,2,1,City registration pending
1110001,"Charming, Cozy, Beautiful Home w/lush garden patio",1479905,Samantha,,Glen Park,37.74178,-122.43014,Entire home/apt,,30,81,2019-07-15,0.59,2,0,0,STR-0002962
1121697,Gorgeous Full-Floor Victorian Flat,1126796,E J,,Western Addition,37.77827,-122.43053,Entire home/apt,175,30,67,2024-11-11,0.60,1,286,1,STR-0002096
1126365,Sunny Art Filled Victorian w/ Garage,6179329,Dorka,,Western Addition,37.785438,-122.4441794,Entire home/apt,250,4,6,2024-11-17,0.99,1,349,6,2024-003344STR
1138542,Great home in San Francisco,4229195,Darragh,,Bernal Heights,37.74565,-122.41281,Entire home/apt,459,7,5,2023-08-14,0.04,1,87,0,2023-003296STR
1141986,Lovely SF Studio & Location,5960567,Karina,,South of Market,37.77944,-122.40351,Entire home/apt,90,360,32,2015-12-22,0.23,2,365,0,
1148370,"Convenient, Spacious, eateries ➕Parks & Ocean👌",6295555,Shanon,,Parkside,37.7435,-122.48473,Entire home/apt,65,30,42,2024-09-21,0.30,1,348,1,
