GHGRP ID,Observation Date,Average Landfill Point Source Emission (kg/h),Average Landfill Point Source Emission Uncertainty (kg/h),Average Emission Rate over all overpasses (kg/h),Average Uncertainty Rate over all overpasses (kg/h),Average reported GHGRP emissions (METRIC TONS CO2e),Number of days landfill was flown,Number of days where point sources were detected ,Latitude of Plume Origin,Longitude of Plume Origin,Plume Candidate ID (UTC time of detection),Instantaneous Emission Rate (kg/h),Instantaneous Emission Rate Uncertainty (kg/h)
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.756834,-121.648462,ang20180920t183722-F,163.0,34.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.756592,-121.648265,ang20181009t215128-A,81.0,39.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.756592,-121.648265,ang20181009t215749-A,160.0,76.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.755134,-121.65895,GAO20201115t201750p0000-A,775.0,320.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.757233,-121.65948,GAO20201115t201750p0000-1,364.0,274.0
1007699,6/18/2017,657.0,266.0,358.0,147.0,165082.0,11.0,8.0,37.751353,-121.65539,GAO20211107t193924p0000-A,552.0,171.0
1007699,6/20/2017,175.0,72.0,358.0,147.0,165082.0,11.0,8.0,37.75285,-121.65606,ang20170618t182621-C,164.0,103.0
1007699,6/20/2017,175.0,72.0,358.0,147.0,165082.0,11.0,8.0,37.75287,-121.65538,ang20170618t182621-D,222.0,120.0
1007699,6/20/2017,175.0,72.0,358.0,147.0,165082.0,11.0,8.0,37.75307,-121.65464,ang20170618t182621-E,205.0,111.0
1007699,6/20/2017,175.0,72.0,358.0,147.0,165082.0,11.0,8.0,37.75178,-121.65484,ang20170618t182621-F,328.0,48.0
1007699,6/20/2017,175.0,72.0,358.0,147.0,165082.0,11.0,8.0,37.75684,-121.65607,ang20170618t182621-H,579.0,92.0
1007699,6/20/2017,175.0,72.0,358.0,147.0,165082.0,11.0,8.0,37.75598,-121.65379,ang20170618t182621-I,251.0,54.0
1007699,6/20/2017,175.0,72.0,358.0,147.0,165082.0,11.0,8.0,37.74877,-121.65478,ang20170618t183142-A,171.0,143.0
1007699,6/20/2017,175.0,72.0,358.0,147.0,165082.0,11.0,8.0,37.7524,-121.65544,ang20170618t183142-B,372.0,117.0
1007699,6/20/2017,175.0,72.0,358.0,147.0,165082.0,11.0,8.0,37.75304,-121.6482,ang20170618t183142-E,277.0,113.0
1007699,6/20/2017,175.0,72.0,358.0,147.0,165082.0,11.0,8.0,37.75306,-121.65043,ang20170618t183142-F,277.0,113.0
1007699,6/20/2017,175.0,72.0,358.0,147.0,165082.0,11.0,8.0,37.7492,-121.65015,ang20170618t183142-G,45.0,25.0
1007699,6/20/2017,175.0,72.0,358.0,147.0,165082.0,11.0,8.0,37.74851,-121.65313,ang20170618t183142-H,50.0,28.0
1007699,6/20/2017,175.0,72.0,358.0,147.0,165082.0,11.0,8.0,37.75598,-121.65379,ang20170620t194520-L,324.0,133.0
