GHGRP ID,Latitude of Plume Origin,Longitude of Plume Origin,Plume Candidate ID (UTC time of detection),Instantaneous Emission Rate (kg/h),Instantaneous Emission Rate Uncertainty (kg/h)
1007817,37.18608,-121.66806,ang20170618t200113-E,40,21
7837,37.21585,-121.89715,ang20170618t201101-A,94,68
7837,37.21408,-121.89743,ang20170618t201101-B,138,79
1007817,37.18486,-121.66479,ang20170618t201101-C,20,13
7837,37.21519,-121.89685,ang20170618t201101-D,129,85
1007817,37.18588,-121.66807,ang20170618t201101-E,66,33
1007817,37.18599,-121.66931,ang20170618t201101-F,64,32
1003679,34.32772,-118.51603,ang20170619t004939-A,666,189
1003679,34.32641,-118.51786,ang20170619t004939-B,129,36
1004011,37.99735,-121.9358,ang20170620t192202-A,70,18
1007040,37.76141,-121.72652,ang20170620t193453-A,105,33
1007040,37.76197,-121.73036,ang20170620t193453-B,122,38
1007040,37.76273,-121.72708,ang20170620t193453-C,73,25
1007040,37.76123,-121.72627,ang20170620t194520-F,183,63
1007699,37.75598,-121.65379,ang20170620t194520-L,324,133
1007699,37.75462,-121.65456,ang20170620t194520-N,103,37
1007699,37.75517,-121.65536,ang20170620t194520-O,98,46
1007668,38.1682,-122.56634,ang20170620t221828-A,241,187
1007668,38.16911,-122.56563,ang20170620t221828-B,76,60
1007668,38.16658,-122.5629,ang20170620t221828-C,123,57
1007668,38.1637,-122.56246,ang20170620t221828-D,287,83
1007668,38.16666,-122.56473,ang20170620t221828-F,365,195
1007668,38.16753,-122.56821,ang20170620t221828-G,567,193
1007668,38.16875,-122.56808,ang20170620t221828-H,376,189
1007112,37.49966,-122.40931,ang20170620t223221-B,1621,827
1007112,37.50064,-122.41188,ang20170620t223221-C,1662,809
1007112,37.50365,-122.40859,ang20170620t223221-D,455,98
1007112,37.50273,-122.40931,ang20170620t223221-E,703,204
1007112,37.50338,-122.41046,ang20170620t223221-F,418,90
1006179,37.45627,-121.94648,ang20170620t225336-A,290,51
1006777,40.429131,-80.918905,GAO20220722t144241p0000-A,,
1006179,37.45825,-121.94126,ang20170620t225336-D,747,267
1006179,37.45748,-121.94358,ang20170620t225336-E,382,56
1006179,37.45917,-121.95086,ang20170620t225947-A,155,27
1006179,37.46137,-121.94492,ang20170620t225947-B,396,107
1006179,37.45666,-121.94701,ang20170620t225947-C,177,42
1003679,34.33481,-118.51938,ang20170828t205257-A,1005,455
1003679,34.32684,-118.51843,ang20170828t205733-A,353,141
1003679,34.3282,-118.51592,ang20170828t205733-D,101,49
1003679,34.33019,-118.51913,ang20170828t205733-E,1058,399
1006899,29.831582,-95.233986,ang20220610t194646-C,,
1003679,34.32666,-118.51772,ang20170828t210241-A,604,199
1003679,34.32413,-118.50989,ang20170828t210241-B,71,23
1010207,34.08666,-117.22064,ang20170830t183447-A,86,24
1006899,29.829397,-95.234296,ang20220610t194646-D,,
1010207,34.0869,-117.2193,ang20170830t183447-B,27,9
1003679,34.32671,-118.5177,ang20170901t183704-A,548,345
1003679,34.32627,-118.51535,ang20170901t183704-B,162,86
1003679,34.32796,-118.51577,ang20170901t183704-C,42,24
1003679,34.32669,-118.5177,ang20170901t184141-A,518,328
1003679,34.32548,-118.51548,ang20170901t184141-C,37,24
1002104,33.61332,-117.82259,ang20170901t221701-A,827,530
1002992,34.43851,-118.64484,ang20170907t184149-A,596,223
1002992,34.43222,-118.64848,ang20170907t184149-B,35,8
1002992,34.43551,-118.64621,ang20170907t184149-D,98,32
1007951,34.24308,-118.38114,ang20170907t215503-A,597,242
1007951,34.26071,-118.40621,ang20170907t215503-D,191,32
1004011,37.9982,-121.93398,ang20170910t194022-A,180,80
1002896,35.34825,-118.76406,ang20170913t214139-A,152,31
1007801,35.5054815,-97.418973,GAO20220616t170133p0000-C,,
1002896,35.3487,-118.76583,ang20170913t214139-B,175,42
1002896,35.35098,-118.76556,ang20170913t214139-C,91,28
1003679,34.33452,-118.51968,ang20170918t202106-A,333,106
1003679,34.3301,-118.5175,ang20170918t202106-C,121,62
1003679,34.33232,-118.5156,ang20170918t202601-B,181,63
1003646,29.424804,-95.191671,ang20220610t201320-B,,
1003679,34.33492,-118.51957,ang20170918t213156-A,961,285
1003679,34.32683,-118.51761,ang20170918t213632-A,451,127
1003679,34.32996,-118.51955,ang20170918t213632-B,423,133
1003679,34.32811,-118.51878,ang20170918t213632-C,319,89
1005717,29.931314,-90.253604,GAO20211026t175710p0000-A,1366,360
1003679,34.33014,-118.51749,ang20170918t213632-D,329,98
1004743,34.40586,-118.99502,ang20170918t215815-A,412,215
1005717,29.9302007,-90.264949,ang20220615t170720-B,,
1004548,36.39318,-119.3792,ang20170919t194958-A,236,77
1004548,36.38764,-119.38043,ang20170919t194958-B,215,13
1004548,36.39455,-119.38082,ang20170919t194958-C,130,18
1004548,36.39359,-119.38,ang20170919t194958-D,224,58
1004548,36.39169,-119.37858,ang20170919t194958-E,49,10
1007794,35.95966,-120.01445,ang20170920t204106-A,136,53
1007794,35.96008,-120.01522,ang20170920t204106-B,137,53
1007794,35.96285,-120.01625,ang20170920t204106-C,116,42
1003679,34.3267,-118.51717,ang20170922t180434-A,63,37
1003679,34.32794,-118.52037,ang20170922t212618-A,61,32
1005493,30.602086,-91.233137,ang20220614t174029-B,,
1003679,34.32685,-118.52037,ang20170922t212618-C,51,40
1008057,32.7317,-117.06889,ang20170925t212203-B,124,40
1008057,32.73386,-117.06567,ang20170925t212203-C,478,63
1007558,32.85223,-117.16319,ang20170925t214642-A,548,117
1007558,32.85246,-117.16606,ang20170925t214642-B,253,42
1003679,34.3267891,-118.51538,ang20200825t213837-1,,
1007558,32.85303,-117.16755,ang20170925t214642-C,110,30
1007558,32.85186,-117.16952,ang20170925t214642-D,46,19
1007558,32.85079,-117.16609,ang20170925t214642-E,170,21
1004010,37.87881,-121.18931,ang20170930t214843-C,676,318
1004010,37.87782,-121.18673,ang20170930t214843-D,2595,1184
1004010,37.87961,-121.18722,ang20170930t214843-E,1325,832
1004010,37.87782,-121.18673,ang20171003t222158-A,1377,409
1004010,37.87881,-121.18931,ang20171003t223216-A,1363,783
1004010,37.8791,-121.18823,ang20171003t223216-B,1626,339
1004399,40.497751,-81.518096,ang20220630t200716-B,,
1004010,37.88025,-121.18661,ang20171003t223216-C,285,124
1004010,37.87729,-121.18978,ang20171003t223216-D,1084,487
1007699,37.75436,-121.6572,ang20171003t224906-A,77,35
1007699,37.75359,-121.65752,ang20171003t224906-B,150,48
1007699,37.75567,-121.65272,ang20171003t224906-C,219,46
1007699,37.75645,-121.65736,ang20171003t224906-D,667,346
1007699,37.75375,-121.65547,ang20171003t224906-G,219,46
1007112,37.502709,-122.410825,ang20180920t204112-C,1093,486
1007699,37.7524,-121.65544,ang20171003t224906-H,219,46
1007699,37.74821,-121.65916,ang20171003t224906-I,154,24
