GHGRP ID,Latitude of Plume Origin,Longitude of Plume Origin,Plume Candidate ID (UTC time of detection),Instantaneous Emission Rate (kg/h),Instantaneous Emission Rate Uncertainty (kg/h)
1004743,34.40381,-118.99601,ang20171016t203319-B,308,176
1003679,34.327201,-118.51601,ang20200825t212126-A,421,167
1004743,34.40428,-118.99849,ang20171016t203319-C,31,18
1004743,34.40428,-118.99849,ang20171016t203726-A,241,139
1004743,34.40586,-118.99502,ang20171016t203726-E,1106,610
1004743,34.40586,-118.99502,ang20171016t204134-B,1087,686
1004743,34.40381,-118.99601,ang20171016t204134-C,438,304
1004743,34.40414,-118.99827,ang20171016t204547-B,162,113
1006149,35.510786,-119.40798,ang20200727t221033-A,414,99
1002107,33.7159695,-117.69798,ang20200906t202258-A,413,188
1004743,34.40381,-118.99601,ang20171016t204547-C,150,76
1004743,34.40586,-118.99502,ang20171016t204547-D,1446,927
1004743,34.40381,-118.99601,ang20171016t204936-B,127,63
1004743,34.4051,-118.99399,ang20171016t211444-A,272,135
1004743,34.40586,-118.99502,ang20171016t211444-B,793,270
1004743,34.40586,-118.99502,ang20171016t212056-A,919,308
1004743,34.40404,-118.99511,ang20171016t212056-B,170,42
1004743,34.40539,-118.99576,ang20171016t212508-B,428,181
1004743,34.40586,-118.99502,ang20171016t212901-A,326,112
1004743,34.4051,-118.99399,ang20171016t212901-B,158,40
1004743,34.40586,-118.99502,ang20171016t213300-A,297,99
1004743,34.4051,-118.99399,ang20171016t213300-B,262,116
1004743,34.40539,-118.99576,ang20171016t213656-B,242,96
1004743,34.4051,-118.99399,ang20171016t213656-C,124,48
1002106,33.49009,-117.62384,ang20171023t183733-A,36,20
1002106,33.49045,-117.62067,ang20171023t183733-B,55,32
1002106,33.48879,-117.62053,ang20171023t183733-C,33,20
1002106,33.48885,-117.62417,ang20171023t184406-A,67,39
1002106,33.4888,-117.62088,ang20171023t184406-B,10,6
1002106,33.48671,-117.62324,ang20171023t184406-C,27,16
1005042,38.311463,-121.82486,ang20200918t204940-A,397,75
1002107,33.72043,-117.70277,ang20171023t192818-A,1109,468
1002107,33.71964,-117.70456,ang20171023t192818-B,465,169
1002107,33.72164,-117.70116,ang20171023t192818-C,195,93
1002107,33.71674,-117.70502,ang20171023t193220-C,157,50
1002107,33.72043,-117.70277,ang20171023t193220-E,1293,582
1002107,33.71964,-117.70456,ang20171023t193220-F,467,226
1002107,33.71715,-117.7025,ang20171023t215031-A,83,73
1002107,33.71674,-117.70502,ang20171023t215031-B,141,88
1002107,33.71344,-117.70398,ang20171023t215031-C,264,174
1002107,33.72043,-117.70277,ang20171023t215031-D,709,457
1002107,33.70836,-117.70809,ang20171023t215031-F,204,135
1002107,33.7175254,-117.6962,ang20200720t204136-1,378,124
1002107,33.71715,-117.7025,ang20171023t215413-A,34,25
1002107,33.71621,-117.70243,ang20171023t215413-B,52,34
1002107,33.71344,-117.70398,ang20171023t215413-C,27,20
1002107,33.72043,-117.70277,ang20171023t215413-D,1000,649
1002107,33.71964,-117.70456,ang20171023t215413-E,198,163
1002107,33.70836,-117.70809,ang20171023t215413-F,39,27
1003679,34.326972,-118.51666,ang20200708t192518-A,366,69
1002107,33.72247,-117.69879,ang20171023t215413-G,54,33
1002107,33.71385,-117.706,ang20171023t215413-H,301,202
1003679,34.32806,-118.51599,ang20171026t215115-A,187,93
1003679,34.32884,-118.51944,ang20171026t215115-B,71,36
1003679,34.33357,-118.52219,ang20171026t215522-A,108,60
1003679,34.33051,-118.51768,ang20171026t215522-B,177,87
1003679,34.32817,-118.52014,ang20171026t215947-A,171,85
1003679,34.32682,-118.5173,ang20171026t215947-C,69,36
1002320,33.94049,-117.84846,ang20171108t175813-A,104,41
1002320,33.93932,-117.84296,ang20171108t175813-B,63,41
1002320,33.93995,-117.84145,ang20171108t175813-D,70,37
1002320,33.93873,-117.84134,ang20171108t175813-E,46,21
1002320,33.9415,-117.83898,ang20171108t175813-F,23,9
1002320,33.94125,-117.83168,ang20171108t180333-A,15,8
1002320,33.94153,-117.83103,ang20171108t180333-B,16,9
1002320,33.93771,-117.83093,ang20171108t180333-C,67,35
1006149,35.50812,-119.40904,ang20171113t191125-B,18,4
1006149,35.51068,-119.41098,ang20171113t191125-C,51,30
1006149,35.51068,-119.41098,ang20171113t203340-C,112,19
1006149,35.51068,-119.41098,ang20171113t215354-C,168,37
1006149,35.50856,-119.41064,ang20171113t215354-D,49,10
1004548,36.393379,-119.382122,ang20180821t200507-A,26,12
1004548,36.391841,-119.38044,ang20180821t200507-B,107,31
1004548,36.393827,-119.380172,ang20180919t190324-A,71,23
1004548,36.391695,-119.379387,ang20180919t190324-B,227,36
1003679,34.3280924,-118.51905,ang20200716t201734-A,337,111
1004548,36.393827,-119.380172,ang20180919t191334-A,123,54
1004548,36.391695,-119.379387,ang20180919t191334-B,159,51
1004548,36.393827,-119.380172,ang20180919t192216-A,35,18
1004548,36.391973,-119.378572,ang20180919t192216-B,101,21
1007040,37.758056,-121.727748,ang20180920t180956-A,61,36
1007040,37.759477,-121.727427,ang20180920t180956-B,266,87
1007699,37.75279,-121.655627,ang20180920t180956-D,57,11
1007699,37.756834,-121.648462,ang20180920t180956-E,209,68
1007040,37.758056,-121.727748,ang20180920t182324-B,479,126
1007040,37.759477,-121.727427,ang20180920t182324-C,479,126
1007040,37.760207,-121.722692,ang20180920t182324-D,331,89
1007699,37.750391,-121.657948,ang20180920t182324-E,281,71
1007699,37.753244,-121.65473,ang20180920t183722-A,27,9
1007040,37.758056,-121.727748,ang20180920t183722-B,207,44
1007699,37.750318,-121.657252,ang20180920t183722-C,298,80
1007040,37.759477,-121.727427,ang20180920t183722-D,207,44
1007699,37.756834,-121.648462,ang20180920t183722-F,163,34
1004011,37.997968,-121.934226,ang20180920t185005-A,169,92
1004011,37.998831,-121.935629,ang20180920t185005-B,159,80
1004011,37.997033,-121.935958,ang20180920t185005-C,464,200
1004011,37.99719,-121.936891,ang20180920t185005-D,327,142
1004011,37.995543,-121.935431,ang20180920t185005-E,711,253
1004011,37.992781,-121.938766,ang20180920t190207-A,517,223
1004011,37.998831,-121.935629,ang20180920t190207-B,163,51
1004011,37.997033,-121.935958,ang20180920t190207-C,351,108
1004011,37.997056,-121.936213,ang20180920t190207-D,380,92
1004011,37.995405,-121.936006,ang20180920t190207-E,279,82
1007345,38.210109,-121.972806,ang20180920t191240-A,400,122
1007345,38.210109,-121.972806,ang20180920t192430-A,670,230
1007345,38.210109,-121.972806,ang20180920t193536-A,818,383
1007112,37.498386,-122.407651,ang20180920t202937-A,151,64
1007112,37.500481,-122.412113,ang20180920t202937-B,109,69
1007112,37.50118,-122.40922,ang20180920t202937-C,216,142
1007112,37.498386,-122.407651,ang20180920t204112-A,188,80
1006149,35.5107681,-119.40802,ang20200715t175235-2,305,37
1007112,37.50118,-122.40922,ang20180920t204112-D,272,153
1007112,37.498386,-122.407651,ang20180920t205250-A,133,54
1007112,37.500656,-122.412447,ang20180920t205250-B,122,45
1007112,37.502709,-122.410825,ang20180920t205250-C,713,347
1007112,37.50118,-122.40922,ang20180920t205250-D,407,267
1004548,36.394067,-119.381049,ang20180922t194326-A,422,118
1006149,35.510814,-119.40794,ang20200727t215412-A,303,70
1004548,36.392356,-119.378759,ang20180922t194326-B,17,6
1004548,36.393827,-119.380172,ang20180922t195009-A,248,88
1004548,36.412806,-119.367076,ang20180922t195009-B,39,23
1003679,34.334556,-118.519683,ang20180922t221128-A,693,262
1003679,34.328168,-118.520114,ang20180922t221128-B,112,53
1003679,34.327001,-118.5174,ang20180922t221128-C,350,214
1003679,34.327288,-118.5161,ang20200716t201734-B,296,110
1003679,34.325478,-118.515477,ang20180922t221128-D,88,35
1003679,34.334556,-118.519683,ang20180922t221711-A,823,398
1003679,34.327935,-118.520374,ang20180922t221711-B,116,95
1003679,34.327339,-118.517598,ang20180922t221711-C,159,44
1003679,34.325478,-118.515477,ang20180922t221711-D,65,22
1007668,38.163702,-122.562459,ang20180927t184652-A,42,27
1007668,38.163702,-122.562459,ang20180927t185506-A,224,113
1007112,37.502709,-122.410825,ang20180927t191712-A,524,274
1007112,37.500195,-122.412071,ang20180927t191712-B,107,60
1007112,37.501451,-122.409377,ang20180927t191712-C,560,272
1007112,37.501918,-122.409181,ang20180927t192533-A,418,222
1007112,37.500754,-122.411403,ang20180927t192533-B,87,66
1007112,37.501937,-122.409132,ang20180927t192533-C,543,261
1007112,37.502709,-122.410825,ang20180927t193322-A,223,104
1006179,37.459461,-121.943333,ang20180927t195028-B,154,30
1006179,37.458969,-121.945939,ang20180927t195028-D,238,68
1002107,33.716887,-117.70191,ang20200811t200130-A,280,73
1006179,37.45936,-121.9432,ang20180927t200251-B,1673,906
1006179,37.458969,-121.945939,ang20180927t200251-D,1759,843
1006179,37.457143,-121.944568,ang20180927t200251-E,325,129
1002320,33.94178532,-117.8370573,ang20181001t173050-A,404,177
1002320,33.939634,-117.833445,ang20181001t173050-B,404,177
1002320,33.93829,-117.843507,ang20181001t173050-C,404,177
1002320,33.93829,-117.843507,ang20181001t173050-D,404,177
1002320,33.93795,-117.837136,ang20181001t173735-D,152,51
1002107,33.717428,-117.704123,ang20181001t174635-A,67,30
1002107,33.719093,-117.706075,ang20181001t174635-B,211,150
1002107,33.721353,-117.702361,ang20181001t174635-C,380,104
1002107,33.723105,-117.699426,ang20181001t174635-D,633,168
1002107,33.717428,-117.704123,ang20181001t175246-A,121,29
1006149,35.5105024,-119.40798,ang20200709t212243-1,270,137
1002107,33.719093,-117.706075,ang20181001t175246-B,85,42
1002107,33.721353,-117.702361,ang20181001t175246-C,526,175
1002107,33.723105,-117.699426,ang20181001t175246-D,422,108
1003679,34.334556,-118.519683,ang20181001t202630-A,833,319
1003679,34.328168,-118.520114,ang20181001t202630-B,177,91
1003679,34.327001,-118.5174,ang20181001t202630-C,405,117
1003679,34.325478,-118.515477,ang20181001t202630-D,116,84
1003679,34.334556,-118.519683,ang20181001t203231-A,1001,469
1003679,34.328139,-118.520272,ang20181001t203231-B,207,48
1003679,34.327001,-118.5174,ang20181001t203231-C,307,151
1007345,38.209173,-121.975285,ang20181005t183808-B,61,23
1007345,38.210109,-121.972806,ang20181005t183808-C,80,18
1002320,33.943224,-117.83354,ang20200720t203444-A,254,89
1007345,38.209173,-121.975285,ang20181005t184359-C,79,49
1007345,38.210109,-121.972806,ang20181005t184359-D,60,32
1007345,38.209173,-121.975285,ang20181005t184931-B,69,21
1007345,38.210109,-121.972806,ang20181005t184931-C,196,42
1002107,33.7177146,-117.70015,ang20200716t204525-1,250,99
1006179,37.458245,-121.941261,ang20181005t192348-B,1709,720
1006179,37.458969,-121.945939,ang20181005t192348-C,113,74
1006179,37.457773,-121.94467,ang20181005t192348-D,241,146
1006179,37.459525,-121.941676,ang20181005t192348-E,554,543
1006179,37.458969,-121.945939,ang20181005t192929-D,73,39
1006179,37.457773,-121.94467,ang20181005t192929-E,164,79
1006179,37.459557,-121.941255,ang20181005t192929-F,859,312
1006179,37.458245,-121.941261,ang20181005t193542-C,898,493
1006179,37.458969,-121.945939,ang20181005t193542-D,615,321
1006179,37.457773,-121.94467,ang20181005t193542-E,522,210
1006179,37.459557,-121.941255,ang20181005t193542-G,563,303
1006179,37.458245,-121.941261,ang20181005t194456-C,1286,434
1006179,37.458969,-121.945939,ang20181005t194456-D,150,26
1006179,37.457773,-121.94467,ang20181005t194456-E,89,79
1006179,37.459557,-121.941255,ang20181005t194456-F,629,564
1004011,37.998189,-121.93567,ang20181005t195739-A,201,84
1004011,37.998205,-121.936859,ang20181005t195739-B,138,40
1004011,37.996155,-121.93602,ang20181005t195739-C,415,89
1004011,37.996227,-121.933482,ang20181005t195739-D,502,126
1004011,37.998189,-121.93567,ang20181005t200331-A,205,71
1004011,37.998205,-121.936859,ang20181005t200331-B,234,52
1004011,37.996155,-121.93602,ang20181005t200331-C,265,102
1005717,29.921805,-90.23808,GAO20211026t175710p0000-A,232,72
1004011,37.996227,-121.933482,ang20181005t200331-D,53,16
1004011,37.998134,-121.935832,ang20181005t200940-A,95,12
1004011,37.99776,-121.936978,ang20181005t200940-B,147,29
1004011,37.995543,-121.935431,ang20181005t200940-C,589,160
1004011,37.996968,-121.935819,ang20181005t200940-D,118,115
1004010,37.881364,-121.188374,ang20181005t222416-D,266,118
1004010,37.878574,-121.190206,ang20181005t223055-A,317,48
1004010,37.878136,-121.18623,ang20181005t223055-B,852,406
1004010,37.879613,-121.187221,ang20181005t223055-C,597,287
1004010,37.881364,-121.188374,ang20181005t223055-D,438,243
1004037,38.520206,-121.187196,ang20181009t180043-B,247,66
1004037,38.518615,-121.187787,ang20181009t180043-C,304,53
1004037,38.520206,-121.187196,ang20181009t180554-B,160,111
1004037,38.518615,-121.187787,ang20181009t180554-C,468,201
1004037,38.516449,-121.187477,ang20181009t180554-D,303,203
1004010,37.878807,-121.189306,ang20181009t200058-A,176,80
1004010,37.877816,-121.18673,ang20181009t200058-B,371,84
1004010,37.879613,-121.187221,ang20181009t200058-C,221,216
1004010,37.881364,-121.188374,ang20181009t200058-D,774,161
1004010,37.881364,-121.188374,ang20181009t200627-D,669,248
1007699,37.756592,-121.648265,ang20181009t215128-A,81,39
1007040,37.760207,-121.722692,ang20181009t215128-D,57,12
1007699,37.756592,-121.648265,ang20181009t215749-A,160,76
1007040,37.759477,-121.727427,ang20181009t215749-F,141,32
1004548,36.393851,-119.380252,ang20181010t194152-A,383,147
1004548,36.392758,-119.378661,ang20181010t194152-B,54,15
1004548,36.393597,-119.382178,ang20181010t194152-C,137,30
1004548,36.393827,-119.380172,ang20181010t194707-A,54,21
1002320,33.942302,-117.83338,ang20200811t195421-A,212,86
1003679,34.334556,-118.519683,ang20181010t211201-A,487,227
1003679,34.328168,-118.520114,ang20181010t211201-B,556,223
1003679,34.327001,-118.5174,ang20181010t211201-C,403,86
1003679,34.325478,-118.515477,ang20181010t211201-D,299,178
1003679,34.328645,-118.516057,ang20181010t211201-E,134,43
1003679,34.328847,-118.513754,ang20181010t211201-G,148,108
1003679,34.334556,-118.519683,ang20181010t211633-A,975,444
1003679,34.328168,-118.520114,ang20181010t211633-B,243,99
1003679,34.327001,-118.5174,ang20181010t211633-C,511,166
1003679,34.325478,-118.515477,ang20181010t211633-D,64,17
1002320,33.939634,-117.833445,ang20181010t221412-A,49,14
1002320,33.93829,-117.843507,ang20181010t221412-B,49,14
1002320,33.938419,-117.838131,ang20181010t221412-C,137,39
1002320,33.94178532,-117.8370573,ang20181010t221928-A,42,16
1002320,33.939634,-117.833445,ang20181010t221928-B,42,16
1002107,33.716611,-117.69936,ang20200814t191007-A,201,55
1006149,35.510759,-119.40794,ang20200924t213537-A,200,30
1002320,33.938524,-117.836858,ang20181010t221928-C,118,27
1002320,33.94178532,-117.8370573,ang20181010t221928-D,105,13
1002320,33.93829,-117.843507,ang20181010t221928-E,42,16
1007699,37.755134,-121.65895,GAO20201115t201750p0000-A,775,320
1003679,34.325815,-118.51556,ang20220228t215349-A,,
1007693,33.797174,-117.46173,ang20220302t182228-A,1033,517
1002107,33.7203344,-117.70327,ang20220302t195344-A,478,186
1003679,34.328494,-118.51611,ang20220302t184722-A,696,366
1004743,34.403933,-118.99706,ang20220302t185439-A,515,299
1007112,37.5025891,-122.41033,ang20220514t200013-A,,
1007693,33.796276,-117.46291,ang20220302t200003-A,649,252
1003679,34.3302,-118.51775,ang20220302t201838-A,597,168
1004743,34.405117,-118.99403,ang20220302t205915-A,1123,592
1003679,34.327481,-118.51805,ang20220308t221613-A,1385,535
1002107,33.715342,-117.70036,ang20220311t185338-A,719,307
1003679,34.325482,-118.51763,ang20220311t191344-A,1859,471
1004743,34.4037872,-118.9972,ang20220311t192131-A,550,144
1003679,34.325704,-118.51636,ang20220311t200606-A,1290,529
1002107,33.720566,-117.70483,ang20220311t202515-A,857,323
1003679,34.327324,-118.51638,ang20220311t205203-A,1583,326
1004743,34.403755,-118.9972,ang20220311t205920-A,1121,304
1003679,34.325722,-118.51592,ang20220311t214308-A,3311,905
1007693,33.7967482,-117.46364,ang20220318t183050-A,818,312
1005717,29.9312745,-90.253384,GAO20210506t182124p0000-2,473,69
1004037,38.518135,-121.18776,GAO20201120t191548p0000-A,473,315
1002107,33.715904,-117.70379,ang20200811t200130-B,182,61
1004550,36.709719,-121.76139,GAO20201115t181309p0000-A,464,219
1004743,34.405178,-118.99279,ang20220318t190518-A,713,212
1004743,34.404972,-118.99269,ang20220318t195813-A,511,143
1004010,37.881167,-121.18666,GAO20201115t203231p0000-A,456,259
1003679,34.3283762,-118.52138,ang20220318t200606-B,,
1004550,36.7064781,-121.75763,GAO20211107t185840p0000-A,456,343
1007693,33.7964286,-117.46191,ang20220318t202431-A,,
1002951,43.055464,-77.936804,GAO20210815t133815p0000-B,,
1007112,37.504692,-122.40881,ang20220514t195506-B,,
1002107,33.720606,-117.70422,ang20220401t212926-A,437,151
1004743,34.406525,-118.99212,ang20220318t213136-A,872,337
1003679,34.32772,-118.51737,ang20220318t214057-A,941,400
1002107,33.718309,-117.70318,GAO20211111t204558p0000-A,436,196
1004487,34.136765,-84.042897,GAO20220425t151201p0000-D,,
1004352,36.371824,-114.85761,ang20220401t191621-C,653,209
1006899,29.830701,-95.240665,ang20220610t194646-A,424,126
1004487,34.136754,-84.042905,GAO20220425t151656p0000-A,,
1007691,40.27536,-79.992332,GAO20210514t144546p0000-1,417,217
1003679,34.327882,-118.5168,ang20220401t214726-A,1445,452
1006179,37.458775,-121.94243,ang20220406t181817-A,6471,3207
1004011,37.995263,-121.93738,ang20220406t184200-A,790,292
1007112,37.4989885,-122.41201,ang20220406t192150-A,,
1006179,37.45678,-121.9424,ang20220406t193219-A,1374,694
1003679,34.335794,-118.51904,ang20220424t202503-A,,
1003679,34.325628,-118.51896,ang20220424t202503-C,1626,479
1004743,34.4039908,-118.99583,ang20220424t203219-A,515,143
1005717,29.9376311,-90.263031,GAO20210506t181508p0000-2,417,239
1007693,33.7976664,-117.46247,ang20220401t212206-A,408,222
1006179,37.458161,-121.94073,ang20220514t181218-A,3375,905
1006179,37.45809,-121.94027,ang20220514t182158-A,3669,1068
1002107,33.716176,-117.70329,ang20200720t204136-B,167,64
1004011,37.9939842,-121.93682,ang20220514t190216-A,489,88
1004011,37.993923,-121.93864,ang20220514t190736-A,640,167
1004011,37.998189,-121.93671,ang20220514t190736-B,1553,644
1007112,37.499975,-122.4084,ang20220514t195506-A,,
1002107,33.715349,-117.699,ang20220318t203132-A,400,104
1005717,29.931215,-90.253519,ang20220604t155809-A,2731,580
1005717,29.935104,-90.262639,ang20220604t155809-B,6131,2306
1005493,30.602954,-91.231627,ang20220604t171218-A,5030,1737
1006899,29.828238,-95.234547,ang20220607t201015-A,2887,459
1006899,29.83074,-95.241767,ang20220607t201015-B,973,197
1007800,29.949144,-95.232315,ang20220607t201504-A,821,313
1007800,29.95227,-95.233173,ang20220607t201504-B,,
1007684,29.6814,-94.918509,ang20220607t210726-A,,
1007684,29.674622,-94.913917,ang20220607t210726-B,,
1004487,34.13682,-84.042887,GAO20220423t150922p0000-C,,
1006899,29.827848,-95.234223,ang20220610t194646-B,,
1007800,29.952811,-95.236423,ang20220610t195414-A,,
1007800,29.952146,-95.233298,ang20220610t195414-B,3944,1104
1007800,29.949042,-95.232207,ang20220610t195414-C,1082,343
1003646,29.428065,-95.190582,ang20220610t201320-A,4376,1829
1005493,30.602769,-91.231887,ang20220614t174029-A,2130,668
1005717,29.935347,-90.263499,ang20220615t170720-A,,
1004743,34.4058413,-118.99327,ang20200716t200550-A,158,81
1004011,37.9920316,-121.93943,GAO20201120t185304p0000-3,384,217
1004037,38.5182932,-121.18781,GAO20201115t195429p0000-2,378,181
1003646,29.427967,-95.190812,ang20220617t181518-B,821,301
1007800,29.951287,-95.232666,ang20220617t190047-A,701,362
1007800,29.95287,-95.232735,ang20220617t191847-A,630,332
1004743,34.4047929,-118.99537,GAO20201111t175225p0000-1,372,212
1004850,40.97072,-82.485041,ang20220630t163400-D,,
1007797,30.4813067,-90.823766,GAO20210506t170356p0000-1,366,118
1007699,37.757233,-121.65948,GAO20201115t201750p0000-1,364,274
1004743,34.405234,-118.99216,ang20220318t205907-A,364,187
1010392,33.177012,-84.850477,GAO20220427t163724p0000-A,362,184
1003679,34.327091,-118.51628,ang20220318t185710-A,358,145
1004011,37.997333,-121.93484,ang20220514t190216-B,356,129
1002276,40.820732,-82.870055,ang20220630t203229-A,355,185
1002107,33.720865,-117.7032,ang20220302t182946-B,351,190
1004550,36.709896,-121.76283,GAO20201112t181508p0000-A,331,141
1002107,33.718217,-117.7005,ang20200830t202837-B,141,57
1006149,35.5107605,-119.40795,ang20200903t205931-A,140,26
1004850,40.9713084,-82.480328,ang20220630t163400-B,330,83
1003601,42.164597,-83.207467,ang20220630t143313-A,2236,527
1007745,42.762924,-82.746817,ang20220630t144452-A,,
1004497,42.905407,-82.591398,ang20220630t145143-A,,
1008034,42.402084,-83.553195,ang20220630t151457-A,,
1003582,42.262317,-83.433016,ang20220630t152222-A,2681,613
1003687,42.269862,-83.453896,ang20220630t152222-C,,
1003732,43.2131763,-78.974383,GAO20210815t135403p0000-B,324,292
1007693,33.797241,-117.4615,GAO20211111t205931p0000-B,320,127
1007969,41.31046,-82.1732,ang20220630t162531-A,573,125
1004850,40.972887,-82.483583,ang20220630t163400-A,1092,264
1010392,33.177082,-84.850196,GAO20220427t163220p0000-A,312,148
1004399,40.49834,-81.51725,ang20220630t165936-B,,
1006777,40.427386,-80.917378,ang20220630t170635-A,1353,294
1003102,40.9943833,-80.534384,ang20220630t171928-A,620,198
1003102,40.9967412,-80.53264,ang20220630t171928-B,716,252
1003102,40.996169,-80.52876,ang20220630t171928-C,1187,321
1006777,40.428551,-80.919883,ang20220630t174018-A,1732,278
1006777,40.427034,-80.914707,ang20220630t174018-C,,
1004399,40.497623,-81.520797,ang20220630t174841-A,4099,1139
1003102,40.993305,-80.528714,ang20220630t194620-B,548,119
1003102,40.992976,-80.533628,ang20220630t194620-C,,
1006777,40.42748,-80.918231,ang20220630t195902-A,2073,650
1004399,40.496028,-81.522057,ang20220630t200716-A,,
1004850,40.97378,-82.483484,ang20220630t202314-A,1325,223
1002107,33.716065,-117.69866,ang20220318t183727-A,311,89
1007969,41.308802,-82.170455,ang20220630t205522-A,2394,808
1002107,33.720787,-117.70411,ang20220318t183727-B,306,101
1007558,32.8523606,-117.16521,ang20220401t205816-B,301,118
1004011,37.994022,-121.93863,GAO20201115t201040p0000-A,294,90
1004550,36.709555,-121.76229,GAO20201112t181145p0000-A,290,132
1007745,42.755217,-82.749664,GAO20210815t153645p0000-A,287,201
1007817,37.185747,-121.66914,GAO20201115t182415p0000-1,283,138
1007558,32.850611,-117.16658,ang20220401t205816-A,283,95
1002107,33.712135,-117.70833,GAO20201114t184338p0000-1,280,86
1002107,33.7194921,-117.7064,GAO20201111t190112p0000-1,2474,662
1002107,33.7195741,-117.70625,GAO20201111t190435p0000-1,1776,495
1006179,37.458037,-121.94483,GAO20201112t183426p0000-A,1081,610
1006179,37.460606,-121.94507,GAO20201112t183426p0000-D,3042,1647
1006179,37.460606,-121.94507,GAO20201112t183816p0000-A,2286,1132
1006179,37.4580513,-121.94493,GAO20201112t183816p0000-C,614,290
1007112,37.499179,-122.41109,GAO20201112t184601p0000-A,1324,644
1007345,38.214296,-121.98144,GAO20201112t192439p0000-C,627,264
1002107,33.718147,-117.70412,GAO20211110t191107p0000-B,260,106
1003911,40.022167,-105.00796,GAO20210925t173847p0000-A,258,144
1004011,37.992381,-121.93924,GAO20201112t200252p0000-C,2615,752
1002107,33.7157519,-117.69733,ang20220302t182946-A,253,121
1002107,33.719749,-117.70405,GAO20201114t184022p0000-B,1397,610
1002107,33.719284,-117.70351,GAO20201114t184338p0000-B,1454,754
1007693,33.798277,-117.46534,GAO20201114t184906p0000-1,855,448
1006179,37.45897,-121.94198,GAO20201115t183326p0000-B,2273,1210
1006179,37.458344,-121.94461,GAO20201115t183718p0000-A,2042,1054
1007112,37.500184,-122.41177,GAO20201115t184615p0000-B,1814,1140
1007040,37.7587901,-121.72696,ang20220514t183955-A,240,90
1005042,38.3145126,-121.82711,GAO20201115t193521p0000-1,617,170
1003679,34.3274306,-118.52007,ang20200708t192518-2,116,74
1004497,42.904927,-82.594236,GAO20210815t153248p0000-A,238,114
1004037,38.520343,-121.18567,GAO20201115t195429p0000-A,790,203
1004037,38.5155284,-121.19257,GAO20201120t191548p0000-1,231,89
1003687,42.2690187,-83.457429,GAO20210815t155502p0000-C,227,67
1002107,33.7219934,-117.7019,GAO20201117t184543p0000-1,2382,1165
1002107,33.719753,-117.70095,GAO20201117t184543p0000-A,1451,467
1002107,33.719883,-117.70339,GAO20201117t184543p0000-B,1676,666
1002107,33.719104,-117.70618,GAO20201117t184543p0000-C,597,206
1004010,37.8790057,-121.18599,GAO20201120t182953p0000-2,1417,424
1004850,40.9658311,-82.48597,ang20220630t163400-C,220,67
1003911,40.021997,-105.00802,GAO20210722t162645p0000-A,220,59
1003911,40.022029,-105.00783,GAO20210922t172413p0000-A,218,110
1002107,33.712151,-117.70851,GAO20201117t184152p0000-A,209,124
1004010,37.8788443,-121.18604,GAO20201120t202702p0000-2,1595,767
1002320,33.941588,-117.83386,GAO20201114t183507p0000-1,206,128
1005717,29.931344,-90.253389,GAO20210506t181508p0000-1,875,168
1005717,29.933745,-90.260272,GAO20210506t182124p0000-1,1344,687
1003911,40.022255,-105.00806,GAO20210715t161842p0000-A,200,76
1006064,30.868467,-92.603939,GAO20210508t152018p0000-1,490,197
1002476,30.2723745,-92.864893,GAO20210508t153858p0000-1,,
1006261,41.4260187,-75.581762,GAO20210511t150535p0000-1,603,108
1007880,40.5865875,-104.8233,GAO20210712t153850p0000-A,199,56
1002556,40.1738227,-75.898597,GAO20210511t154329p0000-1,591,161
1003456,40.2122954,-80.271228,GAO20210513t152129p0000-1,583,234
1003456,40.210998,-80.272652,GAO20210513t153658p0000-2,1013,381
1002320,33.940615,-117.82939,GAO20211110t185911p0000-A,194,98
1004352,36.3705251,-114.86443,ang20220401t191621-B,191,79
1002951,43.0565179,-77.933738,GAO20210815t133815p0000-A,187,125
1002035,40.812326,-80.082004,GAO20210518t143003p0000-1,671,524
1004010,37.8773161,-121.18951,GAO20201112t202217p0000-A,185,117
1002107,33.7120933,-117.70852,GAO20201114t184022p0000-1,176,85
1003582,42.2608049,-83.432985,GAO20210815t155502p0000-A,176,43
1006044,39.852353,-104.75564,GAO20210719t154431p0000-A,174,79
1002107,33.7181615,-117.70407,GAO20211110t190751p0000-B,174,64
1003198,34.159472,-118.19327,GAO20211111t203239p0000-A,173,71
1007816,34.3014181,-118.7929,GAO20201111t180024p0000-A,171,108
1007880,40.584812,-104.82296,GAO20210718t152410p0000-A,170,76
1003911,40.0220537,-105.00797,GAO20210922t171315p0000-A,169,87
1004037,38.517037,-121.1855,GAO20201112t194830p0000-B,166,35
1002276,40.8201496,-82.87085,ang20220630t164245-A,165,8
1003732,43.210282,-78.974627,GAO20210815t135403p0000-A,565,374
1003911,40.0221753,-105.00802,GAO20210925t172929p0000-A,165,100
1003679,34.32717,-118.51622,ang20220318t200606-A,163,68
1003582,42.2633732,-83.43078,GAO20210815t155502p0000-B,163,48
1003695,41.5175944,-84.585466,ang20220630t155159-A,161,58
1004406,34.83609,-117.02033,GAO20201111t200553p0000-A,154,48
1003646,29.424565,-95.191949,ang20220617t181518-A,154,93
1005042,38.3103168,-121.82929,GAO20201112t192912p0000-A,151,30
1003679,34.3324901,-118.51745,GAO20201111t181543p0000-A,144,99
1003679,34.3273239,-118.51612,ang20220318t205055-C,141,82
1004352,36.3774107,-114.85621,ang20220502t195444-F,136,82
