AAPL,MSFT,NVDA,AMZN,GOOGL,META,TSLA,AVGO,TSM,WMT
123.76844787597656,235.71170043945312,14.304594039916992,85.81999969482422,88.79810333251953,124.26531219482422,108.0999984741211,53.39711380004883,71.60486602783203,46.589107513427734
125.04502868652344,225.40093994140625,14.738279342651367,85.13999938964844,87.76185607910156,126.88530731201172,113.63999938964844,54.049285888671875,73.81986236572266,46.64101791381836
123.71897888183594,218.7205352783203,14.254631996154785,83.12000274658203,85.8886489868164,126.45694732666016,110.33999633789062,53.54568862915039,73.24919891357422,46.4820442199707
128.27108764648438,221.2982635498047,14.848198890686035,86.08000183105469,87.02452850341797,129.5252227783203,113.05999755859375,56.76892852783203,75.51251983642578,47.620819091796875
128.7955780029297,223.45286560058594,15.616641998291016,87.36000061035156,87.70206451416016,128.97731018066406,119.7699966430664,55.65559768676758,77.67915344238281,47.027095794677734
129.36953735351562,225.1549835205078,15.897439002990723,89.87000274658203,88.10062408447266,132.48391723632812,118.8499984741211,55.466514587402344,78.60769653320312,46.99789810180664
132.10084533691406,231.96322631835938,15.989370346069336,95.08999633789062,91.1894302368164,132.38430786132812,123.22000122070312,55.776187896728516,79.10099029541016,47.40993118286133
132.0216827392578,234.6589813232422,16.498998641967773,95.2699966430664,90.80083465576172,136.18975830078125,123.55999755859375,56.142799377441406,84.1500015258789,46.98168182373047
133.35760498046875,235.36734008789062,16.88671875,98.12000274658203,91.78726959228516,136.458740234375,122.4000015258789,55.85916519165039,83.95654296875,47.13740921020508
134.5253448486328,236.46926879882812,17.68913459777832,96.05000305175781,90.96026611328125,134.8448944091797,131.49000549316406,55.88231658935547,86.0748062133789,46.85190200805664
133.8029327392578,232.00254821777344,17.364370346069336,95.45999908447266,90.79087829589844,132.51380920410156,128.77999877929688,55.404762268066406,86.53907775878906,45.69366455078125
133.86233520507812,228.18521118164062,16.7528133392334,93.68000030517578,92.71391296386719,135.63189697265625,127.16999816894531,54.33678436279297,85.5041275024414,45.04154586791992
136.43524169921875,236.3413543701172,17.826034545898438,97.25,97.66594696044922,138.8396453857422,133.4199981689453,55.06613540649414,88.04796600341797,45.59633255004883
139.6415252685547,238.66326904296875,19.179052352905273,97.5199966430664,99.4295654296875,142.7248077392578,143.75,56.112892150878906,92.52630615234375,46.27764892578125
141.0467529296875,238.1320037841797,19.250995635986328,96.31999969482422,97.34710693359375,142.5952911376953,143.88999938964844,56.44091033935547,91.46232604980469,46.400936126708984
